,configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
0,1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,45120297,11.87,1.25, 0:01.91,686,499,348.62,18084.29
1,101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,26267100,46.03,1.52, 0:05.18,916,499,107.27,10527.9
2,102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,32273287,42.88,1.83, 0:05.02,889,499,112.6,12935.19
3,103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,32001575,54.08,1.5, 0:04.85,1144,499,115.89,12826.28
4,104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,26273297,81.42,1.79, 0:05.21,1596,499,107.89,10530.38
5,105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,27307328,57.77,1.41, 0:03.87,1526,499,150.85,10944.82
6,106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,31378936,39.51,1.61, 0:03.87,1061,499,152.96,12576.73
7,107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,30853969,40.24,1.58, 0:03.94,1061,499,149.47,12366.32
8,108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,24358266,37.91,1.51, 0:04.86,810,499,115.07,9762.83
9,109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,27596490,45.38,1.74, 0:05.61,839,499,99.01,11060.72
10,110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,34859730,40.25,1.69, 0:04.33,966,499,133.7,13971.84
11,11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,35538867,15.22,1.33, 0:01.97,838,499,357.56,14244.03
12,111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,27739160,70.68,1.45, 0:06.10,1181,499,90.53,11117.9
13,112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,25951656,55.06,1.79, 0:05.64,1007,499,98.16,10401.47
14,113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,25731545,61.28,1.43, 0:04.87,1286,499,113.49,10313.24
15,114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,24179845,48.05,1.48, 0:05.50,900,499,101.13,9691.32
16,115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,32456428,62.31,1.5, 0:05.42,1176,499,100.98,13008.59
17,116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,26141830,66.6,1.65, 0:08.23,828,499,65.17,10477.69
18,117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,25941737,53.56,1.79, 0:05.56,994,499,100.16,10397.49
19,118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,29182713,55.87,1.54, 0:05.23,1097,499,107.45,11696.48
20,119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,27725292,58.53,2.19, 0:07.15,848,499,76.04,11112.34
21,120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,27709045,58.55,2.4, 0:06.60,923,499,82.95,11105.83
22,12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,35538867,15.61,1.34, 0:01.95,865,499,356.55,14244.03
23,121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,34960012,57.4,2.1, 0:06.90,861,499,77.63,14012.03
24,122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,27744921,59.03,2.19, 0:07.77,787,499,68.79,11120.21
25,123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,27326240,69.96,1.52, 0:11.76,607,499,44.21,10952.4
26,124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,30901746,57.06,1.96, 0:05.00,1180,499,113.17,12385.47
27,125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,31425137,57.9,1.86, 0:06.60,904,499,82.61,12595.25
28,126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,30936901,61.82,2.31, 0:06.48,988,499,84.36,12399.56
29,127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,26685537,46.12,2.02, 0:05.14,935,499,109.41,10695.61
30,128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,27019069,47.06,1.89, 0:04.54,1076,499,126.39,10829.29
31,129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,30424326,55.77,1.91, 0:05.56,1036,499,100.0,12194.12
32,130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,26896043,40.56,1.46, 0:03.21,1307,499,188.86,10779.98
33,13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,45083078,11.4,1.05, 0:01.88,659,499,383.1,18069.37
34,131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,28533111,49.9,1.78, 0:03.46,1493,499,173.49,11436.12
35,132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,28350969,53.1,1.97, 0:03.60,1528,499,164.98,11363.11
36,133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,28205184,45.48,1.72, 0:03.37,1397,499,178.51,11304.68
37,134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,25941737,58.19,1.73, 0:06.30,949,499,87.16,10397.49
38,135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,27564322,60.6,1.15, 0:05.55,1112,499,99.62,11047.82
39,136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,33428785,50.33,1.16, 0:04.60,1119,499,120.87,13398.31
40,137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,27220530,42.02,1.32, 0:03.98,1088,499,145.58,10910.03
41,138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,26301029,395.96,1.8, 0:29.92,1329,499,17.02,10541.49
42,139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,33084963,518.21,1.7, 0:31.24,1664,499,16.27,13260.51
43,140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,29842409,212.07,1.4, 0:14.85,1437,499,34.74,11960.89
44,14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,45120297,12.74,1.48, 0:02.11,672,499,323.34,18084.29
45,141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,32356592,110.8,1.82, 0:09.90,1137,499,53.55,12968.57
46,142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,26798169,220.23,1.71, 0:17.61,1259,499,29.24,10740.75
47,143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,30330589,183.73,1.93, 0:17.55,1057,499,29.31,12156.55
48,144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,29705530,283.59,1.67, 0:26.69,1068,499,19.09,11906.02
49,145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,28915645,166.91,2.05, 0:14.32,1179,499,36.29,11589.44
50,146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,25335811,100.72,1.58, 0:07.92,1291,499,67.76,10154.63
51,147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,37503379,57.02,1.42, 0:05.82,1003,499,93.39,15031.41
52,148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,33850982,175.11,1.36, 0:14.71,1199,499,35.07,13567.53
53,149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,33934700,174.19,1.53, 0:14.50,1211,499,35.68,13601.08
54,150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,27467342,61.42,1.28, 0:03.93,1593,499,145.18,11008.95
55,15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,45120297,11.37,1.04, 0:01.81,686,499,378.98,18084.29
56,151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,30934219,178.64,1.37, 0:13.32,1350,499,38.85,12398.48
57,152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,27034495,112.44,1.31, 0:07.17,1585,499,74.59,10835.47
58,153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,27050597,111.12,1.5, 0:07.20,1563,499,75.44,10841.92
