,configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
0,1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5309383,0.64,0.09, 0:00.19,386,593,5281.82,2146.68
1,101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2285381,2.87,0.15, 0:00.61,493,593,1103.47,924.02
2,102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2969616,2.67,0.12, 0:00.51,538,593,1324.43,1200.67
3,103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2974829,2.97,0.13, 0:00.54,568,593,1263.76,1202.78
4,104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1700014,3.19,0.13, 0:00.52,630,593,1320.64,687.35
5,105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1817731,2.38,0.08, 0:00.38,636,593,1885.85,734.94
6,106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2893315,2.65,0.12, 0:00.55,503,593,1254.58,1169.82
7,107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2773685,2.79,0.13, 0:00.57,513,593,1208.94,1121.45
8,108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2206702,1.99,0.08, 0:00.41,499,593,1707.4,892.21
9,109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2318126,2.2,0.08, 0:00.41,547,593,1702.75,937.26
10,110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,3256880,2.39,0.11, 0:00.45,556,593,1585.46,1316.81
11,11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3446741,0.86,0.12, 0:00.19,515,593,5076.75,1393.58
12,111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,2019502,3.39,0.11, 0:00.54,647,593,1268.17,816.52
13,112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2363504,2.8,0.12, 0:00.49,593,593,1423.93,955.61
14,113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2361091,3.25,0.1, 0:00.53,630,593,1307.19,954.63
15,114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2211967,2.22,0.09, 0:00.39,587,593,1822.83,894.34
16,115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,3195765,3.3,0.09, 0:00.52,652,593,1310.64,1292.1
17,116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2385070,3.65,0.13, 0:00.62,605,593,1077.15,964.33
18,117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2362185,2.9,0.1, 0:00.49,605,593,1409.35,955.07
19,118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2479326,3.13,0.15, 0:00.56,581,593,1224.21,1002.43
20,119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2244460,3.15,0.17, 0:00.61,539,593,1104.36,907.47
21,120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,2239883,2.83,0.14, 0:00.54,545,593,1269.58,905.62
22,12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3446741,0.89,0.11, 0:00.18,539,593,5107.4,1393.58
23,121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,3181900,3.12,0.1, 0:00.57,563,593,1185.28,1286.5
24,122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,2245888,2.78,0.07, 0:00.54,528,593,1282.56,908.05
25,123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2183115,3.38,0.11, 0:00.59,583,593,1141.24,882.67
26,124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,2244078,2.73,0.17, 0:00.45,637,593,1543.5,907.32
27,125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,2244079,2.53,0.09, 0:00.42,625,593,1701.06,907.32
28,126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,2251607,2.6,0.13, 0:00.44,621,593,1616.78,910.36
29,127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2241965,2.28,0.17, 0:00.41,587,593,1732.74,906.47
30,128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2252476,2.27,0.15, 0:00.39,614,593,1875.66,910.72
31,129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2341114,2.74,0.16, 0:00.49,590,593,1433.49,946.55
32,130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1753384,1.73,0.12, 0:00.29,638,593,2720.53,708.92
33,13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5306246,0.64,0.1, 0:00.18,400,593,5198.7,2145.41
34,131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1852570,2.1,0.11, 0:00.31,695,593,2428.96,749.03
35,132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1796221,2.25,0.14, 0:00.34,693,593,2164.64,726.24
36,133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,1843836,1.9,0.11, 0:00.30,653,593,2530.74,745.5
37,134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,2362185,2.64,0.12, 0:00.45,603,593,1526.62,955.07
38,135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2524013,3.69,0.14, 0:00.79,483,593,822.95,1020.5
39,136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,3645921,3.74,0.13, 0:00.80,479,593,806.75,1474.11
40,137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2479645,2.62,0.1, 0:00.52,521,593,1295.9,1002.56
41,138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,2359489,26.81,0.22, 0:04.20,643,593,143.94,953.98
42,139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,2998542,28.86,0.22, 0:03.54,821,593,171.29,1212.36
43,140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,2960202,14.27,0.22, 0:02.20,658,593,279.71,1196.86
44,14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5309383,0.64,0.08, 0:00.18,400,593,5542.73,2146.68
