configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
124,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,1936217,18.21, 0.39, 0:03.12, 595, 599 , 202.16 , 775.78
125,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,10863159,41.46, 0.55, 0:08.06, 520, 600 , 76.07 , 4340.92
126,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,3166693,27.96, 0.62, 0:04.09, 697, 599 , 151.83 , 1268.79
127,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,2910332,14.14, 0.59, 0:02.61, 564, 400 , 170.43 , 1164.13
128,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,None,2,None,None,None,0,None,60,0,69,1,659749,8.74, 0.29, 0:02.20, 409, 599 , 288.71 , 264.08
129,0,8,1:0:0,0x3:0x133,umh,9,0,16,2,1,0,0,0,None,2,None,None,None,0,0,60,0,69,0,1772488,40.32, 1.59, 0:04.86, 862, 599 , 142.77 , 709.47
130,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,0,123254730,581.05, 96.58, 0:36.53, 1854, 600 , 17.64 , 49252.64
13,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,3702488,23.04, 0.51, 0:04.20, 560, 500 , 124.14 , 1481.00
131,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,20076515,83.02, 1.45, 0:09.04, 934, 499 , 58.63 , 8046.70
132,0,8,1:0:0,0x3:0x113,umh,4,0,16,2,1,0,0,0,1,2,None,None,None,0,None,20,0,69,1,30056927,56.82, 1.89, 0:05.22, 1124, 600 , 132.86 , 12010.76
133,0,8,1:0:0,0x3:0x113,umh,4,0,16,2,1,0,0,0,1,2,None,None,None,0,0,20,0,69,1,5209304,22.12, 1.00, 0:03.29, 702, 499 , 168.71 , 2087.90
134,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,9850193,61.55, 0.91, 0:07.60, 821, 599 , 82.71 , 3942.71
135,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,1579801,11.14, 0.29, 0:01.87, 609, 599 , 339.50 , 632.34
136,0,8,1:0:0,0x3:0x113,umh,4,0,24,2,1,1,0,8,1,2,None,None,None,0,0,20,1,69,1,20376764,135.37, 3.19, 0:12.17, 1138, 480 , 41.23 , 8150.71
137,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,841054,7.77, 0.25, 0:01.76, 455, 599 , 366.77 , 336.65
138,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,None,2,None,None,None,0,None,60,0,69,1,8275662,93.62, 1.65, 0:08.29, 1148, 600 , 78.73 , 3306.96
139,0,8,1:0:0,0x3:0x133,umh,4,0,24,2,1,1,0,8,1,2,None,None,None,0,0,20,1,69,1,12683201,24.26, 0.67, 0:03.05, 816, 600 , 206.97 , 5073.28
140,0,8,1:0:0,0x3:0x113,umh,9,0,16,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,16405367,159.90, 1.42, 0:10.95, 1472, 600 , 57.85 , 6562.15
14,0,8,1:0:0,0x3:0x113,umh,4,0,16,2,1,0,0,0,1,2,None,None,None,0,0,20,0,69,1,44803340,258.25, 18.69, 1:08.49, 404, 480 , 8.93 , 17903.43
141,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,None,2,None,None,None,0,0,60,0,69,0,604065,7.40, 0.33, 0:02.02, 381, 600 , 327.05 , 241.63
142,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,4432701,23.36, 0.38, 0:04.15, 571, 599 , 150.21 , 1774.27
143,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,110881,1.85, 0.17, 0:00.54, 370, 500 , 1138.00 , 44.35
144,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,1311781,9.83, 0.30, 0:02.23, 453, 599 , 288.00 , 525.06
145,0,8,1:0:0,0x3:0x113,umh,9,0,24,2,1,0,-2,0,1,2,None,None,None,0,None,60,0,69,1,14887241,140.23, 1.86, 0:09.05, 1568, 599 , 71.41 , 5958.88
146,0,8,1:0:0,0x3:0x133,umh,9,0,16,2,1,0,0,0,None,2,None,None,None,0,0,60,0,69,1,3626622,52.00, 1.38, 0:05.06, 1054, 600 , 130.62 , 1449.20
147,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,1968845,15.92, 0.37, 0:02.31, 704, 600 , 279.69 , 786.75
148,0,8,1:0:0,0x3:0x133,umh,9,0,24,2,1,0,0,0,1,2,None,None,None,0,0,60,0,69,1,2324453,19.58, 0.42, 0:03.20, 625, 599 , 197.58 , 930.40
